GID_2,exercise_year,exercise_label,phase_class,population,ndvi_mean_6m,rainfall_sum_6m,lst_mean_6m,nightlight_mean_6m,ndvi_mean_3m,rainfall_sum_3m,conflict_events_6m,conflict_fatalities_6m,state,lga
NGA.1.10_1,2025,Sep-Dec,2.0,484449.024078188,0.4827495337328767,1313.1366481736795,26.345616510020022,0.3061653732303508,0.3201017400684932,818.930100181132,0,0,Abia,Ohafia
NGA.1.11_1,2025,Sep-Dec,2.0,434033.33543131896,0.4500990461065368,1266.491054706977,26.203067646576883,1.139609093200748,0.3868573185781627,768.5369986245657,0,0,Abia,Osisioma Ngwa
NGA.1.12_1,2025,Sep-Dec,2.0,163268.493708541,0.5027151805040906,1330.3387282808662,26.85341108947594,0.7063837559578401,0.4783030212422495,812.1689243074705,1,1,Abia,Ugwunagbo
NGA.1.13_1,2025,Sep-Dec,2.0,116327.732100736,0.5150364323163664,1372.240405809755,26.17182620128496,0.5016026639815827,0.4925359284434609,829.2564089482507,0,0,Abia,Ukwa East
NGA.1.14_1,2025,Sep-Dec,2.0,175000.705292114,0.5190364172267696,1371.5208856006373,26.74992074242445,5.093106970589967,0.4915606435083516,850.6156531112211,0,0,Abia,Ukwa West
NGA.1.15_1,2025,Sep-Dec,2.0,323951.373064761,0.5150831135950673,1191.0920970881716,26.34794298319724,0.3141166905326494,0.3963623690684303,735.501018975119,0,0,Abia,Umu Nneochi
NGA.1.16_1,2025,Sep-Dec,2.0,436064.347961944,0.4396240832910822,1252.7236361300547,27.44166250368091,1.1977036591399637,0.2844323998647964,736.3917503077339,0,0,Abia,Umuahia North
NGA.1.17_1,2025,Sep-Dec,2.0,273840.065495815,0.4810453814604571,1263.921497927069,27.29409375117384,0.5500956376352325,0.3419253009183582,739.0189029274361,0,0,Abia,Umuahia South
NGA.1.1_1,2025,Sep-Dec,2.0,212415.747329617,0.2602248364956159,1226.7229788706395,29.748061460612167,3.2911588920675783,0.2477162462268218,716.6028069599585,0,0,Abia,Aba North
NGA.1.2_1,2025,Sep-Dec,2.0,835633.2963602521,0.3681468278621465,1271.9380897681556,28.78289881667626,2.045735225457839,0.3547059518331031,757.636874447993,0,0,Abia,Aba South
NGA.1.3_1,2025,Sep-Dec,2.0,336358.42241184297,0.4884298540840656,1400.7161924495024,26.75896438143328,0.3456103145311013,0.3482426727602291,860.1442193201902,0,0,Abia,Arochukwu
NGA.1.4_1,2025,Sep-Dec,2.0,379646.611084572,0.4832839116376764,1286.0955288700409,26.70860910350597,0.356757149546654,0.3170705569995249,797.0611345041009,0,0,Abia,Bende
NGA.1.5_1,2025,Sep-Dec,2.0,272699.448858616,0.4935666613501283,1265.425928519926,26.062692610077097,0.4615437175582352,0.3730791043677408,740.0919691966947,0,0,Abia,Ikwuano
NGA.1.6_1,2025,Sep-Dec,2.0,303806.97838101,0.4860719922390258,1236.1440738157162,26.56146771909028,0.4277928572138743,0.3660069585467857,730.3722645992327,0,0,Abia,Isiala Ngwa North
NGA.1.7_1,2025,Sep-Dec,2.0,266313.945462331,0.4881846848962992,1242.2373065252327,26.87399591091296,0.4219104945724732,0.3889420775418082,744.712831926493,0,0,Abia,Isiala Ngwa South
NGA.1.8_1,2025,Sep-Dec,2.0,226158.39051683803,0.5020060716541862,1294.3149070651912,26.61093588606544,0.3413393552261075,0.33190266074235,809.4289798165653,0,0,Abia,Isuikwuato
NGA.1.9_1,2025,Sep-Dec,2.0,358556.576966562,0.4617776992742321,1262.395190896442,27.46369751267252,0.9847492037085708,0.4288564409299811,733.6501957224996,0,0,Abia,Obi Ngwa
NGA.12.10_1,2025,Sep-Dec,2.0,133277.0,0.4666377578525031,902.1067026665633,26.31198621999055,0.3306751218230583,0.3654881737410084,523.3861593459196,0,0,Edo,Igueben
NGA.12.11_1,2025,Sep-Dec,2.0,705643.0,0.458352441737615,1069.782317424906,26.77790233543288,9.629573589687922,0.363662858982664,589.1961927919097,0,0,Edo,Ikpoba-Okha
NGA.12.12_1,2025,Sep-Dec,2.0,710261.0,0.4660353725021882,1113.2934695577164,27.23150018695996,1.9646608754449435,0.3928206090185782,620.6949714217249,0,0,Edo,Oredo
NGA.12.13_1,2025,Sep-Dec,2.0,348941.0,0.5079143792331199,1009.2574166940892,27.15315091074397,1.418512615807919,0.39362008279658,562.3949696418329,0,0,Edo,Orhionmwon
NGA.12.14_1,2025,Sep-Dec,2.0,295788.0,0.5088522071206537,1001.5461958924832,26.58171001290636,0.7998273741156939,0.4091172943561301,576.0754066222636,0,0,Edo,Ovia North-East
NGA.12.15_1,2025,Sep-Dec,2.0,261851.0,0.5098796580645517,1069.6914869622078,25.79663834928744,0.3618443399374474,0.4096399172915659,612.5944473768816,0,0,Edo,Ovia South-West
NGA.12.16_1,2025,Sep-Dec,2.0,293253.0,0.4693323989120611,762.0839777520589,26.12219502285342,0.3379414320962579,0.4322692852853043,463.3216290375878,0,0,Edo,Owan East
NGA.12.17_1,2025,Sep-Dec,2.0,187858.0,0.4829166866529875,823.5138221141852,26.12961313123684,0.3484685750810332,0.4239934592471572,514.2304616700765,0,0,Edo,Owan West
NGA.12.18_1,2025,Sep-Dec,2.0,230895.0,0.4917688456687487,879.2911233138238,26.24043779793816,0.6883917065464965,0.3986244571592585,498.0476972453018,0,0,Edo,Uhunmwonde
NGA.12.1_1,2025,Sep-Dec,2.0,496057.0,0.4926922626011794,809.7268030250888,26.44111500336621,0.3860328437404967,0.4377777233411331,525.2366663992841,0,0,Edo,Akoko-Edo
NGA.12.2_1,2025,Sep-Dec,2.0,645348.0,0.3776404578068943,1004.5016450723832,28.60733131413492,1.8587531798961807,0.3037824496358421,560.257738767752,0,0,Edo,Egor
NGA.12.3_1,2025,Sep-Dec,2.0,199589.0,0.477399546288692,845.2173568694411,25.87654610168016,0.5196730609651924,0.4216392772049355,488.21919345420594,0,0,Edo,Esan Central
NGA.12.4_1,2025,Sep-Dec,2.0,231349.0,0.4626656101957708,828.7107921111434,26.95494221883023,0.5791470986799464,0.4178260257416126,497.8241216067949,0,0,Edo,Esan North-East
NGA.12.5_1,2025,Sep-Dec,2.0,315402.0,0.4652024057105886,870.0757721803266,27.40316181767712,0.3207694732305112,0.3939594389460064,536.1075235089377,0,0,Edo,Esan South-East
NGA.12.6_1,2025,Sep-Dec,2.0,242215.0,0.4585702250561489,858.9564306159066,25.74374435116867,0.4752344356038356,0.364228761832241,488.7950074183549,0,0,Edo,Esan West
