GID_2,exercise_year,exercise_label,exercise_order,phase_class
NGA.1.10_1,2022,Jan-May,20221,2.0
NGA.1.10_1,2022,Sep-Dec,20223,2.0
NGA.1.10_1,2023,Jan-May,20231,2.0
NGA.1.10_1,2023,Sep-Dec,20233,2.0
NGA.1.10_1,2024,Jan-May,20241,2.0
NGA.1.10_1,2024,Sep-Dec,20243,2.0
NGA.1.10_1,2025,Jan-May,20251,2.0
NGA.1.10_1,2025,Sep-Dec,20253,2.0
NGA.1.11_1,2022,Jan-May,20221,2.0
NGA.1.11_1,2022,Sep-Dec,20223,2.0
NGA.1.11_1,2023,Jan-May,20231,2.0
NGA.1.11_1,2023,Sep-Dec,20233,2.0
NGA.1.11_1,2024,Jan-May,20241,2.0
NGA.1.11_1,2024,Sep-Dec,20243,2.0
NGA.1.11_1,2025,Jan-May,20251,2.0
NGA.1.11_1,2025,Sep-Dec,20253,2.0
NGA.1.12_1,2022,Jan-May,20221,2.0
NGA.1.12_1,2022,Sep-Dec,20223,2.0
NGA.1.12_1,2023,Jan-May,20231,2.0
NGA.1.12_1,2023,Sep-Dec,20233,2.0
NGA.1.12_1,2024,Jan-May,20241,2.0
NGA.1.12_1,2024,Sep-Dec,20243,2.0
NGA.1.12_1,2025,Jan-May,20251,2.0
NGA.1.12_1,2025,Sep-Dec,20253,2.0
NGA.1.13_1,2022,Jan-May,20221,2.0
NGA.1.13_1,2022,Sep-Dec,20223,2.0
NGA.1.13_1,2023,Jan-May,20231,2.0
NGA.1.13_1,2023,Sep-Dec,20233,2.0
NGA.1.13_1,2024,Jan-May,20241,2.0
NGA.1.13_1,2024,Sep-Dec,20243,2.0
NGA.1.13_1,2025,Jan-May,20251,2.0
NGA.1.13_1,2025,Sep-Dec,20253,2.0
NGA.1.14_1,2022,Jan-May,20221,2.0
NGA.1.14_1,2022,Sep-Dec,20223,2.0
NGA.1.14_1,2023,Jan-May,20231,2.0
NGA.1.14_1,2023,Sep-Dec,20233,2.0
NGA.1.14_1,2024,Jan-May,20241,2.0
NGA.1.14_1,2024,Sep-Dec,20243,2.0
NGA.1.14_1,2025,Jan-May,20251,2.0
NGA.1.14_1,2025,Sep-Dec,20253,2.0
NGA.1.15_1,2022,Jan-May,20221,2.0
NGA.1.15_1,2022,Sep-Dec,20223,2.0
NGA.1.15_1,2023,Jan-May,20231,2.0
NGA.1.15_1,2023,Sep-Dec,20233,2.0
NGA.1.15_1,2024,Jan-May,20241,2.0
NGA.1.15_1,2024,Sep-Dec,20243,2.0
NGA.1.15_1,2025,Jan-May,20251,2.0
NGA.1.15_1,2025,Sep-Dec,20253,2.0
NGA.1.16_1,2022,Jan-May,20221,2.0
NGA.1.16_1,2022,Sep-Dec,20223,2.0
NGA.1.16_1,2023,Jan-May,20231,2.0
NGA.1.16_1,2023,Sep-Dec,20233,2.0
NGA.1.16_1,2024,Jan-May,20241,2.0
NGA.1.16_1,2024,Sep-Dec,20243,2.0
NGA.1.16_1,2025,Jan-May,20251,2.0
NGA.1.16_1,2025,Sep-Dec,20253,2.0
NGA.1.17_1,2022,Jan-May,20221,2.0
NGA.1.17_1,2022,Sep-Dec,20223,2.0
NGA.1.17_1,2023,Jan-May,20231,2.0
NGA.1.17_1,2023,Sep-Dec,20233,2.0
NGA.1.17_1,2024,Jan-May,20241,2.0
NGA.1.17_1,2024,Sep-Dec,20243,2.0
NGA.1.17_1,2025,Jan-May,20251,2.0
NGA.1.17_1,2025,Sep-Dec,20253,2.0
NGA.1.1_1,2022,Jan-May,20221,2.0
NGA.1.1_1,2022,Sep-Dec,20223,2.0
NGA.1.1_1,2023,Jan-May,20231,2.0
NGA.1.1_1,2023,Sep-Dec,20233,2.0
NGA.1.1_1,2024,Jan-May,20241,2.0
NGA.1.1_1,2024,Sep-Dec,20243,2.0
NGA.1.1_1,2025,Jan-May,20251,2.0
NGA.1.1_1,2025,Sep-Dec,20253,2.0
NGA.1.2_1,2022,Jan-May,20221,2.0
NGA.1.2_1,2022,Sep-Dec,20223,2.0
NGA.1.2_1,2023,Jan-May,20231,2.0
NGA.1.2_1,2023,Sep-Dec,20233,2.0
NGA.1.2_1,2024,Jan-May,20241,2.0
NGA.1.2_1,2024,Sep-Dec,20243,2.0
NGA.1.2_1,2025,Jan-May,20251,2.0
NGA.1.2_1,2025,Sep-Dec,20253,2.0
NGA.1.3_1,2022,Jan-May,20221,2.0
NGA.1.3_1,2022,Sep-Dec,20223,2.0
NGA.1.3_1,2023,Jan-May,20231,2.0
NGA.1.3_1,2023,Sep-Dec,20233,2.0
NGA.1.3_1,2024,Jan-May,20241,2.0
NGA.1.3_1,2024,Sep-Dec,20243,2.0
NGA.1.3_1,2025,Jan-May,20251,2.0
NGA.1.3_1,2025,Sep-Dec,20253,2.0
NGA.1.4_1,2022,Jan-May,20221,2.0
NGA.1.4_1,2022,Sep-Dec,20223,2.0
NGA.1.4_1,2023,Jan-May,20231,2.0
NGA.1.4_1,2023,Sep-Dec,20233,2.0
NGA.1.4_1,2024,Jan-May,20241,2.0
NGA.1.4_1,2024,Sep-Dec,20243,2.0
NGA.1.4_1,2025,Jan-May,20251,2.0
NGA.1.4_1,2025,Sep-Dec,20253,2.0
NGA.1.5_1,2022,Jan-May,20221,2.0
NGA.1.5_1,2022,Sep-Dec,20223,2.0
NGA.1.5_1,2023,Jan-May,20231,2.0
NGA.1.5_1,2023,Sep-Dec,20233,2.0
NGA.1.5_1,2024,Jan-May,20241,2.0
NGA.1.5_1,2024,Sep-Dec,20243,2.0
NGA.1.5_1,2025,Jan-May,20251,2.0
NGA.1.5_1,2025,Sep-Dec,20253,2.0
NGA.1.6_1,2022,Jan-May,20221,2.0
NGA.1.6_1,2022,Sep-Dec,20223,2.0
NGA.1.6_1,2023,Jan-May,20231,2.0
NGA.1.6_1,2023,Sep-Dec,20233,2.0
NGA.1.6_1,2024,Jan-May,20241,2.0
NGA.1.6_1,2024,Sep-Dec,20243,2.0
NGA.1.6_1,2025,Jan-May,20251,2.0
NGA.1.6_1,2025,Sep-Dec,20253,2.0
NGA.1.7_1,2022,Jan-May,20221,2.0
NGA.1.7_1,2022,Sep-Dec,20223,2.0
NGA.1.7_1,2023,Jan-May,20231,2.0
NGA.1.7_1,2023,Sep-Dec,20233,2.0
NGA.1.7_1,2024,Jan-May,20241,2.0
NGA.1.7_1,2024,Sep-Dec,20243,2.0
NGA.1.7_1,2025,Jan-May,20251,2.0
NGA.1.7_1,2025,Sep-Dec,20253,2.0
NGA.1.8_1,2022,Jan-May,20221,2.0
NGA.1.8_1,2022,Sep-Dec,20223,2.0
NGA.1.8_1,2023,Jan-May,20231,2.0
NGA.1.8_1,2023,Sep-Dec,20233,2.0
NGA.1.8_1,2024,Jan-May,20241,2.0
NGA.1.8_1,2024,Sep-Dec,20243,2.0
NGA.1.8_1,2025,Jan-May,20251,2.0
NGA.1.8_1,2025,Sep-Dec,20253,2.0
NGA.1.9_1,2022,Jan-May,20221,2.0
NGA.1.9_1,2022,Sep-Dec,20223,2.0
NGA.1.9_1,2023,Jan-May,20231,2.0
NGA.1.9_1,2023,Sep-Dec,20233,2.0
NGA.1.9_1,2024,Jan-May,20241,2.0
NGA.1.9_1,2024,Sep-Dec,20243,2.0
NGA.1.9_1,2025,Jan-May,20251,2.0
NGA.1.9_1,2025,Sep-Dec,20253,2.0
NGA.12.10_1,2021,Sep-Dec,20213,2.0
NGA.12.10_1,2022,Jan-May,20221,2.0
NGA.12.10_1,2022,Sep-Dec,20223,2.0
NGA.12.10_1,2023,Jan-May,20231,2.0
NGA.12.10_1,2023,Sep-Dec,20233,2.0
NGA.12.10_1,2024,Jan-May,20241,2.0
NGA.12.10_1,2024,Sep-Dec,20243,2.0
NGA.12.10_1,2025,Jan-May,20251,2.0
NGA.12.10_1,2025,Sep-Dec,20253,2.0
NGA.12.11_1,2021,Sep-Dec,20213,2.0
NGA.12.11_1,2022,Jan-May,20221,1.0
NGA.12.11_1,2022,Sep-Dec,20223,2.0
NGA.12.11_1,2023,Jan-May,20231,2.0
NGA.12.11_1,2023,Sep-Dec,20233,2.0
NGA.12.11_1,2024,Jan-May,20241,2.0
NGA.12.11_1,2024,Sep-Dec,20243,2.0
NGA.12.11_1,2025,Jan-May,20251,2.0
NGA.12.11_1,2025,Sep-Dec,20253,2.0
NGA.12.12_1,2021,Sep-Dec,20213,2.0
NGA.12.12_1,2022,Jan-May,20221,1.0
NGA.12.12_1,2022,Sep-Dec,20223,2.0
NGA.12.12_1,2023,Jan-May,20231,2.0
NGA.12.12_1,2023,Sep-Dec,20233,2.0
NGA.12.12_1,2024,Jan-May,20241,2.0
NGA.12.12_1,2024,Sep-Dec,20243,2.0
NGA.12.12_1,2025,Jan-May,20251,2.0
NGA.12.12_1,2025,Sep-Dec,20253,2.0
NGA.12.13_1,2021,Sep-Dec,20213,2.0
NGA.12.13_1,2022,Jan-May,20221,1.0
NGA.12.13_1,2022,Sep-Dec,20223,2.0
NGA.12.13_1,2023,Jan-May,20231,2.0
NGA.12.13_1,2023,Sep-Dec,20233,2.0
NGA.12.13_1,2024,Jan-May,20241,2.0
NGA.12.13_1,2024,Sep-Dec,20243,2.0
NGA.12.13_1,2025,Jan-May,20251,2.0
NGA.12.13_1,2025,Sep-Dec,20253,2.0
NGA.12.14_1,2021,Sep-Dec,20213,2.0
NGA.12.14_1,2022,Jan-May,20221,1.0
NGA.12.14_1,2022,Sep-Dec,20223,2.0
NGA.12.14_1,2023,Jan-May,20231,2.0
NGA.12.14_1,2023,Sep-Dec,20233,2.0
NGA.12.14_1,2024,Jan-May,20241,2.0
NGA.12.14_1,2024,Sep-Dec,20243,2.0
NGA.12.14_1,2025,Jan-May,20251,2.0
NGA.12.14_1,2025,Sep-Dec,20253,2.0
NGA.12.15_1,2021,Sep-Dec,20213,2.0
NGA.12.15_1,2022,Jan-May,20221,2.0
NGA.12.15_1,2022,Jan-May,20221,1.0
NGA.12.15_1,2022,Sep-Dec,20223,2.0
NGA.12.15_1,2023,Jan-May,20231,2.0
NGA.12.15_1,2023,Sep-Dec,20233,2.0
NGA.12.15_1,2024,Jan-May,20241,2.0
NGA.12.15_1,2024,Sep-Dec,20243,2.0
NGA.12.15_1,2025,Jan-May,20251,2.0
NGA.12.15_1,2025,Sep-Dec,20253,2.0
NGA.12.16_1,2021,Sep-Dec,20213,2.0
NGA.12.16_1,2022,Jan-May,20221,2.0
NGA.12.16_1,2022,Sep-Dec,20223,2.0
NGA.12.16_1,2023,Jan-May,20231,2.0
NGA.12.16_1,2023,Sep-Dec,20233,2.0
NGA.12.16_1,2024,Jan-May,20241,2.0
NGA.12.16_1,2024,Sep-Dec,20243,2.0
NGA.12.16_1,2025,Jan-May,20251,2.0
