GID_2,exercise_year,exercise_label,phase_class,population,ndvi_mean_6m,rainfall_sum_6m,lst_mean_6m,nightlight_mean_6m,ndvi_mean_3m,rainfall_sum_3m,conflict_events_6m,conflict_fatalities_6m
NGA.2.10_1,2016,Sep-Dec,3.0,184502.0,0.43178820354428155,850.4289765216084,35.29094400633797,0.03385694613465495,0.5885812816805763,722.1163877841373,2,19
NGA.2.13_1,2016,Sep-Dec,3.0,212521.0,0.40869358167793307,892.758025235259,34.20615731970603,0.01092126142005602,0.534555107415574,737.4085011205098,0,0
NGA.2.10_1,2017,Sep-Dec,4.0,184648.0,0.42950922739918057,767.3563077740031,35.66615490280045,0.21075099736174452,0.5959649974808874,638.0865481919823,7,36
NGA.2.13_1,2017,Sep-Dec,3.0,212689.0,0.3971715459578553,853.8021417822655,35.044658809808986,0.22076493504065606,0.5295311790696635,699.5778213049712,0,0
NGA.2.14_1,2017,Sep-Dec,2.0,206896.0,0.39306838958984947,864.2779907094646,34.91768089282019,0.24003840549684374,0.5075837348996179,695.3843860024549,0,0
NGA.2.15_1,2017,Sep-Dec,2.0,176582.0,0.42897066052861876,925.5665468443473,34.04707944793477,0.21276648893019692,0.5345262283745496,731.6651000857419,0,0
NGA.2.11_1,2017,Sep-Dec,3.0,152311.0,0.4055829710886029,831.9758522224236,35.80299744094432,0.19927005430156522,0.5178174276457501,650.2536445531895,0,0
NGA.2.5_1,2017,Sep-Dec,2.0,200538.0,0.41229465435295737,721.7918080953093,35.28181868635071,0.24324765588243588,0.5358673896266114,569.1341511426544,0,0
NGA.2.7_1,2017,Sep-Dec,3.0,231621.0,0.35927655703531447,845.5718416696143,36.674408155021084,0.20607653939914708,0.4784445437996922,685.8506664373633,1,2
NGA.2.18_1,2017,Sep-Dec,2.0,263902.0,0.4199018936082855,778.4397112961337,35.86073957032224,0.2057177946954596,0.5561237842492947,623.1530757911072,0,0
NGA.2.4_1,2017,Sep-Dec,2.0,178031.0,0.3679643947505597,886.9271771491524,36.82708434696047,0.21368984341881503,0.49682368303239843,707.8542480781337,0,0
NGA.2.20_1,2017,Sep-Dec,3.0,271504.0,0.3811770144703979,707.6566169139318,34.08460660801652,0.891463559402465,0.4664109638974583,550.3852628893449,0,0
NGA.2.21_1,2017,Sep-Dec,3.0,266519.0,0.4440919447315577,760.1614879974996,35.411520276357315,0.4212301983582192,0.555851975861601,588.8843596494075,0,0
NGA.2.2_1,2017,Sep-Dec,2.0,283884.0,0.4736836223165093,818.0585151443644,35.01576791578024,0.21057591070926127,0.606345175778246,630.418440793,0,0
NGA.2.6_1,2017,Sep-Dec,2.0,243480.0,0.30859290344304596,667.301140105902,35.74154873005483,0.2297841155573923,0.42282131421691477,533.754830882298,0,0
NGA.2.17_1,2017,Sep-Dec,2.0,204153.0,0.37715949156944356,757.9831357594664,35.6445176614582,0.21363138666240197,0.5056836940940885,610.7361269970022,0,0
NGA.2.3_1,2017,Sep-Dec,3.0,224721.0,0.5029450419556057,998.2363667149924,32.32919409105855,0.22639559622837968,0.609869667147861,749.3272178527154,0,0
NGA.2.1_1,2017,Sep-Dec,3.0,246858.0,0.4038097847004784,684.5086970623975,35.212861658705314,0.2913547436586898,0.5287881299041886,543.9021884971364,0,0
NGA.2.9_1,2017,Sep-Dec,3.0,154486.0,0.4050676522009906,640.9226540000809,33.77155304655952,0.25450654663160205,0.5119619385535882,515.6333754629339,0,0
NGA.2.12_1,2017,Sep-Dec,2.0,209714.0,0.44735729134084545,884.3609473507366,35.902672894598425,0.22054007176404178,0.5837957724935435,680.4151860548881,0,0
NGA.2.19_1,2017,Sep-Dec,3.0,71270.0,0.602890785801582,1074.285027092385,29.989196003990727,0.21758213707239984,0.6788778748096232,744.5605485947023,0,0
NGA.2.16_1,2017,Sep-Dec,2.0,124248.0,0.3832646966036504,641.5815178064328,34.32835372990735,0.2524364422725498,0.5028543013253465,513.6054304839815,0,0
NGA.2.8_1,2017,Sep-Dec,3.0,230728.0,0.49607174869283804,938.5899587633763,34.676558027053304,0.1962552327425576,0.6286134576231145,709.8475841333918,0,0
NGA.8.9_1,2017,Sep-Dec,3.0,187849.0,0.31382662027724423,434.9594667576587,38.94919740136528,0.21703145468353366,0.4226020141873151,422.93132412334035,1,3
NGA.8.17_1,2017,Sep-Dec,3.0,110854.0,0.28092047617003413,273.4705053853244,40.006654995399664,0.21655175779012106,0.38616011927922195,262.50461750132735,4,40
NGA.8.21_1,2017,Sep-Dec,4.0,256733.0,0.3117248258142413,472.17367395812187,38.24932007927824,0.21609189821677824,0.4122211169199939,435.74904946983213,5,80
NGA.8.24_1,2017,Sep-Dec,3.0,153834.0,0.29297785666685855,346.5387573006118,38.8057920517748,0.2260446849361714,0.4023360813726307,338.5261226148393,2,7
NGA.8.27_1,2017,Sep-Dec,3.0,142322.0,0.3022609389152881,396.21106924635086,39.339183476796485,0.2264878064905396,0.4036476712322485,378.8391059379287,3,31
NGA.8.25_1,2017,Sep-Dec,3.0,208815.0,0.3213906400937245,384.83123283201627,38.76760882334562,0.23360203693164547,0.4395386475854664,366.88678440563933,1,3
NGA.8.8_1,2017,Sep-Dec,3.0,114802.0,0.3508003286540577,480.44131315619916,38.159040119530026,0.22541259502481872,0.4931110585568725,431.2207743980076,6,29
NGA.8.13_1,2017,Sep-Dec,3.0,607063.0,0.32260208460847806,434.87945253357117,37.6900067995148,0.28290783352746457,0.4387549700324594,390.03182159800366,25,107
NGA.8.20_1,2017,Sep-Dec,4.0,128654.0,0.34539340645345146,449.4784915594738,38.81165397111591,0.2313953125251463,0.47383172882366154,408.9280863885446,5,12
NGA.8.22_1,2017,Sep-Dec,3.0,1030217.0,0.28029055654104135,421.1525321827041,37.35087663816838,2.1380280585588913,0.3508949168314528,373.02251961241944,20,73
NGA.8.26_1,2017,Sep-Dec,4.0,101679.0,0.3146580196847586,467.318720089874,37.54554375737982,0.23890739595830549,0.427816594061289,427.45647875776893,7,7
NGA.8.16_1,2017,Sep-Dec,3.0,188117.0,0.40519868506216133,525.2969765441046,37.18001438752094,0.2518520649490094,0.5671058961369174,455.81463166653805,19,102
NGA.8.3_1,2017,Sep-Dec,4.0,182947.0,0.4000863878680569,562.032790978199,38.10340735899524,0.22411458465468595,0.568346384903003,505.69913973839306,12,43
NGA.8.14_1,2017,Sep-Dec,3.0,132650.0,0.36462467343963406,555.7323657850724,36.82406024707462,0.20085412407260117,0.5136171916315079,492.85519275232247,0,0
NGA.8.2_1,2017,Sep-Dec,3.0,256301.0,0.3597828894580684,779.7117838993892,37.006139316616625,0.19953436029702099,0.49348516060890363,645.8073022765519,1,7
NGA.8.4_1,2017,Sep-Dec,3.0,155884.0,0.34690227649146116,677.1803066638216,37.32934225291601,0.22303134186678308,0.4640890218537403,549.6194379477425,0,0
NGA.8.5_1,2017,Sep-Dec,3.0,272089.0,0.3723878786289423,726.1176225714298,37.11394716730987,0.22505167390716838,0.516856125545864,628.8872872951346,1,1
